"Symbol,Company Name,Industry,Series
RELIANCE,Reliance Industries Limited,REFINERIES,EQ
TCS,Tata Consultancy Services Limited,IT - Software,EQ
HDFCBANK,HDFC Bank Limited,BANKS,EQ
INFY,Infosys Limited,IT - Software,EQ
ICICIBANK,ICICI Bank Limited,BANKS,EQ
HINDUNILVR,Hindustan Unilever Limited,FMCG,EQ
ITC,ITC Limited,DIVERSIFIED,EQ
SBIN,State Bank of India,BANKS,EQ
BHARTIARTL,Bharti Airtel Limited,TELECOM,EQ
KOTAKBANK,Kotak Mahindra Bank Limited,BANKS,EQ
LT,Larsen & Toubro Limited,CONSTRUCTION,EQ
AXISBANK,Axis Bank Limited,BANKS,EQ
ASIANPAINT,Asian Paints Limited,PAINTS,EQ
MARUTI,Maruti Suzuki India Limited,AUTOMOBILES,EQ
HCLTECH,HCL Technologies Limited,IT - Software,EQ
WIPRO,Wipro Limited,IT - Software,EQ
ULTRACEMCO,UltraTech Cement Limited,CEMENT,EQ
BAJFINANCE,Bajaj Finance Limited,FINANCE,EQ
TITAN,Titan Company Limited,CONSUMER DURABLES,EQ
NESTLEIND,Nestle India Limited,FMCG,EQ
SUNPHARMA,Sun Pharmaceutical Industries Limited,PHARMA,EQ
TECHM,Tech Mahindra Limited,IT - Software,EQ
POWERGRID,Power Grid Corporation of India Limited,POWER,EQ
NTPC,NTPC Limited,POWER,EQ
ONGC,Oil and Natural Gas Corporation Limited,OIL & GAS,EQ
M&M,Mahindra & Mahindra Limited,AUTOMOBILES,EQ
TATASTEEL,Tata Steel Limited,STEEL,EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,PORTS,EQ
COALINDIA,Coal India Limited,MINING,EQ
BAJAJFINSV,Bajaj Finserv Limited,FINANCE,EQ
"
